Match Date,Kick Off Time,Home Team,HGoals,Away Team,AGoals
2013-02-23,22:00:00.000,Barcelona,2,Sevilla,1
2012-08-26,19:00:00.000,Osasuna,1,Barcelona,2
2013-03-30,18:00:00.000,Celta Vigo,2,Barcelona,2
2012-08-19,21:00:00.000,Barcelona,5,Real Sociedad,1
2013-03-02,16:00:00.000,Real Madrid,2,Barcelona,1
2012-09-22,22:00:00.000,Barcelona,2,Granada,0
2013-05-05,21:00:00.000,Barcelona,4,Real Betis,2
2012-11-03,18:00:00.000,Barcelona,3,Celta Vigo,1
2013-02-03,19:00:00.000,Valencia,1,Barcelona,1
2012-11-17,20:00:00.000,Barcelona,3,Real Zaragoza,1
2013-05-12,19:00:00.000,Atlético Madrid,1,Barcelona,2
2013-01-19,18:00:00.000,Real Sociedad,3,Barcelona,2
2012-10-20,22:00:00.000,Deportivo La Coruna,4,Barcelona,5
2012-09-29,22:00:00.000,Sevilla,2,Barcelona,3
2012-10-07,19:50:00.000,Barcelona,2,Real Madrid,2
2013-02-10,12:00:00.000,Barcelona,6,Getafe,1
2012-10-27,22:00:00.000,Rayo Vallecano,0,Barcelona,5
2012-11-25,21:00:00.000,Levante,0,Barcelona,4
2012-12-09,21:00:00.000,Real Betis,1,Barcelona,2
2012-09-02,21:30:00.000,Barcelona,1,Valencia,0
2013-02-16,20:00:00.000,Granada,1,Barcelona,2
2013-03-17,21:00:00.000,Barcelona,3,Rayo Vallecano,1
2013-03-09,20:00:00.000,Barcelona,2,Deportivo La Coruna,0
2012-09-15,20:00:00.000,Getafe,1,Barcelona,4
2012-12-16,21:00:00.000,Barcelona,4,Atlético Madrid,1
2012-11-11,17:50:00.000,Mallorca,2,Barcelona,4
2013-01-13,21:00:00.000,Málaga,1,Barcelona,3
2013-04-27,18:00:00.000,Athletic Bilbao,2,Barcelona,2
2013-01-06,19:00:00.000,Barcelona,4,Espanyol,0
2013-11-10,21:00:00.000,Real Betis,1,Barcelona,4
2013-09-14,20:00:00.000,Barcelona,3,Sevilla,2
2014-03-29,16:00:00.000,Espanyol,0,Barcelona,1
2014-04-27,21:00:00.000,Villarreal,2,Barcelona,3
2014-01-19,19:00:00.000,Levante,1,Barcelona,1
2013-09-21,20:00:00.000,Rayo Vallecano,0,Barcelona,4
2013-08-18,19:00:00.000,Barcelona,7,Levante,0
2014-01-26,21:00:00.000,Barcelona,3,Málaga,0
2013-09-01,21:00:00.000,Valencia,2,Barcelona,3
2013-10-26,18:00:00.000,Barcelona,2,Real Madrid,1
2013-11-01,21:00:00.000,Barcelona,1,Espanyol,0
2014-02-22,20:00:00.000,Real Sociedad,3,Barcelona,1
2014-03-23,21:00:00.000,Real Madrid,3,Barcelona,4
2014-03-02,21:00:00.000,Barcelona,4,Almería,1
2013-09-28,18:00:00.000,Almería,0,Barcelona,2
2013-10-19,20:00:00.000,Osasuna,0,Barcelona,0
2014-03-08,16:00:00.000,Real Valladolid,1,Barcelona,0
2014-04-05,18:00:00.000,Barcelona,3,Real Betis,1
2014-04-20,21:00:00.000,Barcelona,2,Athletic Bilbao,1
2014-01-11,20:00:00.000,Atlético Madrid,0,Barcelona,0
2014-05-11,19:00:00.000,Elche,0,Barcelona,0
2014-02-01,16:00:00.000,Barcelona,2,Valencia,3
2014-05-03,16:00:00.000,Barcelona,2,Getafe,2
2013-10-29,22:00:00.000,Celta Vigo,0,Barcelona,3
2014-05-17,18:00:00.000,Barcelona,1,Atlético Madrid,1
2014-02-09,21:00:00.000,Sevilla,1,Barcelona,4
2014-03-26,20:00:00.000,Barcelona,3,Celta Vigo,0
2013-09-24,20:00:00.000,Barcelona,4,Real Sociedad,1
2014-03-16,17:00:00.000,Barcelona,7,Osasuna,0
2014-04-12,20:00:00.000,Granada,1,Barcelona,0
2014-02-15,20:00:00.000,Barcelona,6,Rayo Vallecano,0
2015-01-11,21:00:00.000,Barcelona,3,Atlético Madrid,1
2014-09-13,16:00:00.000,Barcelona,2,Athletic Bilbao,0
2015-03-22,21:00:00.000,Barcelona,2,Real Madrid,1
2015-02-08,21:00:00.000,Athletic Bilbao,2,Barcelona,5
2015-03-14,18:00:00.000,Eibar,0,Barcelona,2
2015-05-02,16:00:00.000,Córdoba,0,Barcelona,8
2014-10-18,20:00:00.000,Barcelona,3,Eibar,0
2015-02-21,16:00:00.000,Barcelona,0,Málaga,1
2015-04-11,20:00:00.000,Sevilla,2,Barcelona,2
2015-01-04,21:00:00.000,Real Sociedad,1,Barcelona,0
2015-01-18,19:00:00.000,Deportivo La Coruna,0,Barcelona,4
2014-12-07,17:00:00.000,Barcelona,5,Espanyol,1
2014-11-30,21:00:00.000,Valencia,0,Barcelona,1
2015-04-18,16:00:00.000,Barcelona,2,Valencia,0
2015-05-17,19:00:00.000,Atlético Madrid,0,Barcelona,1
2015-02-15,17:00:00.000,Barcelona,5,Levante,0
2015-01-24,18:00:00.000,Elche,0,Barcelona,6
2014-09-24,22:00:00.000,Málaga,0,Barcelona,0
2015-03-08,12:00:00.000,Barcelona,6,Rayo Vallecano,1
2015-04-05,21:00:00.000,Celta Vigo,0,Barcelona,1
2014-10-25,18:00:00.000,Real Madrid,3,Barcelona,1
2015-05-23,18:30:00.000,Barcelona,2,Deportivo La Coruna,2
2014-11-01,20:00:00.000,Barcelona,0,Celta Vigo,1
2015-02-28,16:00:00.000,Granada,1,Barcelona,3
2014-10-04,18:00:00.000,Rayo Vallecano,0,Barcelona,2
2015-04-28,20:00:00.000,Barcelona,6,Getafe,0
2014-09-21,21:00:00.000,Levante,0,Barcelona,5
2014-12-13,16:00:00.000,Getafe,0,Barcelona,0
2015-04-08,20:00:00.000,Barcelona,4,Almería,0
2014-12-20,16:00:00.000,Barcelona,5,Córdoba,0
2014-11-08,16:00:00.000,Almería,1,Barcelona,2
2014-11-22,20:00:00.000,Barcelona,5,Sevilla,1
2015-05-09,18:00:00.000,Barcelona,2,Real Sociedad,0
2015-02-01,21:00:00.000,Barcelona,3,Villarreal,2
2014-09-27,18:00:00.000,Barcelona,6,Granada,0
2014-08-31,19:00:00.000,Villarreal,0,Barcelona,1
2015-04-25,16:00:00.000,Espanyol,0,Barcelona,2
2014-08-24,21:00:00.000,Barcelona,3,Elche,0
2016-04-20,20:00:00.000,Deportivo La Coruna,0,Barcelona,8
2016-03-12,16:00:00.000,Barcelona,6,Getafe,0
2016-02-28,20:30:00.000,Barcelona,2,Sevilla,1
2016-05-08,17:00:00.000,Barcelona,5,Espanyol,0
2016-03-20,16:00:00.000,Villarreal,2,Barcelona,2
2016-02-07,12:00:00.000,Levante,0,Barcelona,2
2015-08-23,18:30:00.000,Athletic Bilbao,0,Barcelona,1
2016-02-14,20:30:00.000,Barcelona,6,Celta Vigo,1
2015-11-21,18:15:00.000,Real Madrid,0,Barcelona,4
2015-09-23,20:00:00.000,Celta Vigo,4,Barcelona,1
2016-03-03,21:00:00.000,Rayo Vallecano,1,Barcelona,5
2016-01-09,16:00:00.000,Barcelona,4,Granada,0
2016-04-09,20:30:00.000,Real Sociedad,1,Barcelona,0
2016-02-17,18:30:00.000,Sporting Gijón,1,Barcelona,3
2015-11-28,16:00:00.000,Barcelona,4,Real Sociedad,0
2015-12-05,20:30:00.000,Valencia,1,Barcelona,1
2015-12-30,20:30:00.000,Barcelona,4,Real Betis,0
2015-08-29,20:30:00.000,Barcelona,1,Málaga,0
2016-04-02,20:30:00.000,Barcelona,1,Real Madrid,2
2016-05-14,17:00:00.000,Granada,0,Barcelona,3
2015-09-26,16:00:00.000,Barcelona,2,Las Palmas,1
2015-12-12,16:00:00.000,Barcelona,2,Deportivo La Coruna,2
2016-03-06,16:00:00.000,Eibar,0,Barcelona,4
2016-01-23,16:00:00.000,Málaga,1,Barcelona,2
2016-01-02,16:00:00.000,Espanyol,0,Barcelona,0
2016-01-17,20:30:00.000,Barcelona,6,Athletic Bilbao,0
2015-09-12,20:30:00.000,Atlético Madrid,1,Barcelona,2
2016-02-20,16:00:00.000,Las Palmas,1,Barcelona,2
2016-01-30,16:00:00.000,Barcelona,2,Atlético Madrid,1
2016-04-23,20:30:00.000,Barcelona,6,Sporting Gijón,0
2016-04-30,20:30:00.000,Real Betis,0,Barcelona,2
2015-09-20,20:30:00.000,Barcelona,4,Levante,1
2016-04-17,20:30:00.000,Barcelona,1,Valencia,2
2004-12-11,20:00:00.000,Albacete,1,Barcelona,2
2004-10-24,21:00:00.000,Barcelona,3,Osasuna,0
2004-12-04,20:00:00.000,Barcelona,4,Málaga,0
2004-12-21,20:00:00.000,Barcelona,2,Levante,1
2005-05-01,19:00:00.000,Barcelona,2,Albacete,0
2004-10-16,22:00:00.000,Espanyol,0,Barcelona,1
2005-04-17,21:00:00.000,Barcelona,2,Getafe,0
2005-10-26,20:30:00.000,Barcelona,2,Málaga,0
2006-02-18,22:00:00.000,Barcelona,5,Real Betis,1
2005-10-01,20:00:00.000,Barcelona,2,Real Zaragoza,2
2005-12-17,22:00:00.000,Cádiz,1,Barcelona,3
2006-01-29,19:00:00.000,Mallorca,0,Barcelona,3
2005-12-20,21:00:00.000,Barcelona,2,Celta Vigo,0
2006-01-22,19:00:00.000,Barcelona,2,Deportivo Alavés,0
2005-12-04,19:00:00.000,Villarreal,0,Barcelona,2
2005-11-19,20:00:00.000,Real Madrid,0,Barcelona,3
2005-10-22,22:00:00.000,Barcelona,3,Osasuna,0
2005-11-06,21:00:00.000,Getafe,1,Barcelona,3
2006-01-07,22:00:00.000,Espanyol,1,Barcelona,2
2006-01-15,19:00:00.000,Barcelona,2,Athletic Bilbao,1
2005-12-11,21:00:00.000,Barcelona,2,Sevilla,1
2006-02-25,22:00:00.000,Real Zaragoza,0,Barcelona,2
2006-02-05,19:00:00.000,Barcelona,1,Atlético Madrid,3
2005-11-27,21:00:00.000,Barcelona,4,Racing Santander,1
2007-02-11,19:00:00.000,Barcelona,2,Racing Santander,0
2007-04-22,21:00:00.000,Villarreal,2,Barcelona,0
2007-05-26,22:00:00.000,Barcelona,1,Getafe,0
2007-04-29,19:00:00.000,Barcelona,1,Levante,0
2007-04-15,19:00:00.000,Barcelona,1,Mallorca,0
2007-06-09,21:00:00.000,Barcelona,2,Espanyol,2
2007-05-13,19:00:00.000,Barcelona,1,Real Betis,1
2007-05-05,20:00:00.000,Real Sociedad,0,Barcelona,2
2006-08-28,21:00:00.000,Celta Vigo,2,Barcelona,3
2007-02-25,21:00:00.000,Barcelona,3,Athletic Bilbao,0
2007-06-17,21:00:00.000,Gimnàstic Tarragona,1,Barcelona,5
2006-10-22,21:00:00.000,Real Madrid,2,Barcelona,0
2007-02-18,19:00:00.000,Valencia,2,Barcelona,1
2006-11-12,21:00:00.000,Barcelona,3,Real Zaragoza,1
2006-10-15,19:00:00.000,Barcelona,3,Sevilla,1
2007-03-03,22:00:00.000,Sevilla,2,Barcelona,1
2006-09-09,20:00:00.000,Barcelona,3,Osasuna,0
2006-09-24,21:00:00.000,Barcelona,1,Valencia,1
2007-03-10,22:00:00.000,Barcelona,3,Real Madrid,3
